,precision,recall,f1-score,support
Shih-Tzu,0.9520383693045563,0.9706601466992665,0.9612590799031477,409.0
Rhodesian Ridgeback,0.9523809523809523,0.9803921568627451,0.966183574879227,408.0
Beagle,0.9227166276346604,0.9425837320574163,0.9325443786982248,418.0
English Foxhound,0.8857142857142857,0.8303571428571429,0.8571428571428571,224.0
Australian Terrier,0.9509803921568627,0.9675810473815462,0.9592088998763906,401.0
Border Terrier,0.9767441860465116,0.9287469287469288,0.9521410579345088,407.0
Golden Retriever,0.9584352078239609,0.9775561097256857,0.9679012345679012,401.0
Old English Sheepdog,0.9833333333333333,0.9786729857819905,0.9809976247030879,422.0
Samoyed,0.9929906542056075,0.9906759906759907,0.9918319719953326,429.0
Dingo,0.967741935483871,0.9512195121951219,0.959409594095941,410.0
accuracy,0.9577500636294223,0.9577500636294223,0.9577500636294223,0.9577500636294223
macro avg,0.9543075944084602,0.9518445752983835,0.952862027379662,3929.0
weighted avg,0.9577488068594504,0.9577500636294223,0.9575690593556917,3929.0
