,precision,recall,f1-score,support
Shih-Tzu,0.9603960396039604,0.9486552567237164,0.9544895448954489,409.0
Rhodesian Ridgeback,0.9515738498789347,0.9632352941176471,0.9573690621193667,408.0
Beagle,0.9211136890951276,0.9497607655502392,0.9352179034157833,418.0
English Foxhound,0.910377358490566,0.8616071428571429,0.8853211009174312,224.0
Australian Terrier,0.9032258064516129,0.9775561097256857,0.9389221556886228,401.0
Border Terrier,0.9736147757255936,0.9066339066339066,0.9389312977099237,407.0
Golden Retriever,0.9393203883495146,0.9650872817955112,0.9520295202952029,401.0
Old English Sheepdog,0.9648711943793911,0.976303317535545,0.9705535924617197,422.0
Samoyed,0.985981308411215,0.9836829836829837,0.9848308051341891,429.0
Dingo,0.9845758354755784,0.9341463414634147,0.9586983729662077,410.0
accuracy,0.9508780860269789,0.9508780860269789,0.9508780860269789,0.9508780860269789
macro avg,0.9495050245861494,0.9466668400085793,0.9476363355603896,3929.0
weighted avg,0.9516299610611721,0.9508780860269789,0.9508207778099397,3929.0
