,precision,recall,f1-score,support
Shih-Tzu,0.9511002444987775,0.9511002444987775,0.9511002444987775,409.0
Rhodesian Ridgeback,0.9427207637231504,0.9681372549019608,0.9552599758162031,408.0
Beagle,0.9285714285714286,0.9330143540669856,0.9307875894988067,418.0
English Foxhound,0.8818181818181818,0.8660714285714286,0.8738738738738738,224.0
Australian Terrier,0.918854415274463,0.9600997506234414,0.9390243902439024,401.0
Border Terrier,0.9734748010610079,0.9017199017199017,0.9362244897959183,407.0
Golden Retriever,0.9554455445544554,0.9625935162094763,0.9590062111801242,401.0
Old English Sheepdog,0.9391891891891891,0.9881516587677726,0.9630484988452656,422.0
Samoyed,0.9952380952380953,0.9743589743589743,0.9846878680800942,429.0
Dingo,0.9722921914357683,0.9414634146341463,0.9566294919454771,410.0
accuracy,0.9485874268261644,0.9485874268261644,0.9485874268261644,0.9485874268261644
macro avg,0.9458704855364518,0.9446710498352864,0.9449642633778443,3929.0
weighted avg,0.9491049907294596,0.9485874268261644,0.9485294788561827,3929.0
