,precision,recall,f1-score,support
Shih-Tzu,0.9388753056234719,0.9388753056234719,0.9388753056234719,409.0
Rhodesian Ridgeback,0.9539951573849879,0.9656862745098039,0.9598051157125457,408.0
Beagle,0.9097387173396675,0.916267942583732,0.9129916567342073,418.0
English Foxhound,0.8651162790697674,0.8303571428571429,0.8473804100227791,224.0
Australian Terrier,0.9312039312039312,0.9451371571072319,0.9381188118811881,401.0
Border Terrier,0.9591836734693877,0.9238329238329238,0.9411764705882353,407.0
Golden Retriever,0.9084507042253521,0.9650872817955112,0.9359129383313181,401.0
Old English Sheepdog,0.9488372093023256,0.966824644549763,0.9577464788732394,422.0
Samoyed,0.9951690821256038,0.9603729603729604,0.9774614472123369,429.0
Dingo,0.9527363184079602,0.9341463414634147,0.9433497536945813,410.0
accuracy,0.939679307711886,0.939679307711886,0.939679307711886,0.939679307711886
macro avg,0.9363306378152455,0.9346587974695956,0.9352818388673902,3929.0
weighted avg,0.9400190500347662,0.939679307711886,0.9396444746471685,3929.0
