,precision,recall,f1-score,support
Shih-Tzu,0.9595959595959596,0.9290953545232273,0.9440993788819876,409.0
Rhodesian Ridgeback,0.9518072289156626,0.9681372549019608,0.959902794653706,408.0
Beagle,0.9142857142857143,0.9186602870813397,0.9164677804295943,418.0
English Foxhound,0.8888888888888888,0.8214285714285714,0.8538283062645011,224.0
Australian Terrier,0.9200968523002422,0.9476309226932669,0.9336609336609336,401.0
Border Terrier,0.9584415584415584,0.9066339066339066,0.9318181818181818,407.0
Golden Retriever,0.9238329238329238,0.9376558603491272,0.9306930693069307,401.0
Old English Sheepdog,0.8692946058091287,0.9928909952606635,0.9269911504424779,422.0
Samoyed,0.9876237623762376,0.9300699300699301,0.957983193277311,429.0
Dingo,0.95,0.926829268292683,0.9382716049382716,410.0
accuracy,0.9330618477984219,0.9330618477984219,0.9330618477984219,0.9330618477984219
macro avg,0.9323867494446315,0.9279032351234677,0.9293716393673896,3929.0
weighted avg,0.9344945555563373,0.9330618477984219,0.9330186886285978,3929.0
